epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.3219,1.98356,3.13096,1.22114,0.33497,0.40238,0.34391,0.14841,1.84764,1.87778,1.15248,0.000276278,0.000276278,0.000276278
2,93.2719,1.80075,1.97229,1.13721,0.47622,0.45248,0.40403,0.18811,1.7711,1.57518,1.11678,0.000548461,0.000548461,0.000548461
3,133.456,1.77174,1.67359,1.136,0.40295,0.48956,0.43911,0.21744,1.67203,1.40006,1.14139,0.000815146,0.000815146,0.000815146
4,177.887,1.75003,1.5005,1.12334,0.62157,0.4828,0.46796,0.22628,1.75241,1.31849,1.11741,0.00080826,0.00080826,0.00080826
5,222.021,1.73972,1.38971,1.11167,0.47931,0.55617,0.49347,0.25439,1.63765,1.22184,1.10521,0.000800013,0.000800013,0.000800013
6,266.387,1.71071,1.32443,1.10175,0.47395,0.54127,0.48707,0.24299,1.68523,1.25021,1.11088,0.000791767,0.000791767,0.000791767
7,314.041,1.70567,1.25491,1.10507,0.58526,0.50335,0.5058,0.25797,1.68018,1.2353,1.11871,0.00078352,0.00078352,0.00078352
8,361.091,1.67804,1.25835,1.09507,0.53565,0.49899,0.5002,0.24376,1.74134,1.26497,1.13679,0.000775273,0.000775273,0.000775273
9,409.646,1.6852,1.2381,1.09707,0.58055,0.55222,0.55276,0.28459,1.66846,1.16501,1.12115,0.000767026,0.000767026,0.000767026
10,459.316,1.673,1.20311,1.08783,0.56833,0.56981,0.55096,0.28509,1.63754,1.16864,1.10552,0.00075878,0.00075878,0.00075878
11,507.822,1.65093,1.19973,1.08613,0.57681,0.54462,0.55636,0.30099,1.60861,1.12949,1.09159,0.000750533,0.000750533,0.000750533
12,553.989,1.65136,1.16306,1.07878,0.57908,0.56994,0.54666,0.28051,1.6433,1.14896,1.09107,0.000742286,0.000742286,0.000742286
13,601.716,1.63614,1.16294,1.07328,0.51937,0.59673,0.55034,0.30027,1.57949,1.12686,1.08418,0.00073404,0.00073404,0.00073404
14,643.55,1.62949,1.15109,1.0741,0.52664,0.55523,0.5473,0.28846,1.61506,1.14269,1.09563,0.000725793,0.000725793,0.000725793
15,685.57,1.62529,1.12567,1.07323,0.58399,0.56593,0.56614,0.30507,1.59881,1.11955,1.08765,0.000717546,0.000717546,0.000717546
16,728.228,1.62933,1.13387,1.07379,0.53897,0.60052,0.56639,0.31087,1.62182,1.09848,1.10091,0.000709299,0.000709299,0.000709299
17,771.554,1.60588,1.11802,1.06497,0.54279,0.58376,0.57617,0.30919,1.5951,1.0931,1.08906,0.000701053,0.000701053,0.000701053
18,813.72,1.6076,1.09627,1.06107,0.6126,0.5453,0.57829,0.30991,1.64745,1.10629,1.09788,0.000692806,0.000692806,0.000692806
19,856.363,1.59082,1.09696,1.05845,0.562,0.59044,0.57176,0.31191,1.60678,1.08404,1.08715,0.000684559,0.000684559,0.000684559
20,899.933,1.60765,1.08223,1.05971,0.56447,0.56945,0.57973,0.31588,1.59523,1.07144,1.08434,0.000676313,0.000676313,0.000676313
21,943.07,1.58695,1.06838,1.05579,0.61063,0.55786,0.57406,0.30049,1.66775,1.1269,1.10549,0.000668066,0.000668066,0.000668066
22,985.468,1.58074,1.06354,1.05503,0.64509,0.5389,0.59824,0.31768,1.63778,1.09301,1.09417,0.000659819,0.000659819,0.000659819
23,1027.49,1.56976,1.05835,1.05414,0.59266,0.5803,0.59246,0.31555,1.59354,1.06295,1.08371,0.000651573,0.000651573,0.000651573
